t,1,2,3,4,time,x,y,delta_x,delta_y
0.58,119.772231527909,102.153969215593,100.612591058358,101,0.58,14.7593082533833,-24.2886147506195,0.024642547595399,0.007978018789998
0.59,119.797827122357,102.154283928545,100.620419279751,101,0.59,14.7641118308826,-24.2877456238087,0.004803577499301,0.000869126810802
0.6,119.831561772591,102.146738706702,100.636720621661,101,0.6,14.7561421941436,-24.2914535188799,-0.007969636739,-0.003707895071202
0.61,119.865296422824,102.139193484859,100.653021963571,101,0.61,14.7481725574046,-24.2951614139512,-0.007969636739,-0.003707895071297
0.62,119.899031073057,102.131648263016,100.669323305481,101,0.62,14.7402029206657,-24.2988693090224,-0.007969636738899,-0.003707895071202
0.63,119.93276572329,102.124103041173,100.685624647391,101,0.63,14.7322332839267,-24.3025772040937,-0.007969636739,-0.003707895071301
0.64,119.949846276408,102.118412835468,100.693761369699,101,0.64,14.7242636471877,-24.3062850991649,-0.007969636739,-0.003707895071198
0.65,119.931949056828,102.116618627992,100.68475034712,101,0.65,14.7162940104488,-24.3099929942362,-0.007969636738899,-0.003707895071301
0.66,119.914051837248,102.114824420515,100.675739324541,101,0.66,14.7083243737098,-24.3137008893074,-0.007969636739,-0.003707895071198
0.67,119.896154617668,102.113030213038,100.666728301962,101,0.67,14.7091140862681,-24.3134696346295,0.0007897125583,0.0002312546779
0.68,119.878257398088,102.111236005562,100.657717279384,101,0.68,14.7339915988046,-24.3024059027868,0.0248775125365,0.0110637318427
0.69,119.860794997384,102.109616536357,100.648764485068,101,0.69,14.758869111341,-24.2913421709442,0.024877512536399,0.011063731842597
0.7,119.872241347006,102.119614467717,100.643682972365,101,0.7,14.7837466238775,-24.2802784391015,0.0248775125365,0.0110637318427
0.71,119.883687696628,102.129612399078,100.638601459661,101,0.71,14.8086241364139,-24.2692147072589,0.024877512536401,0.011063731842601
0.72,119.89513404625,102.139610330438,100.633519946958,101,0.72,14.8335016489504,-24.2581509754162,0.024877512536499,0.0110637318427
0.73,119.906580395871,102.149608261799,100.628438434255,101,0.73,14.8583791614868,-24.2470872435735,0.024877512536401,0.0110637318427
0.74,119.918026745493,102.159606193159,100.623356921552,101,0.74,14.8832566740233,-24.2360235117309,0.0248775125365,0.011063731842601
0.75,119.926368841825,102.157574888058,100.632391988621,101,0.75,14.9081341865598,-24.2249597798882,0.024877512536499,0.0110637318427
0.76,119.933430333947,102.150581136462,100.64725059836,101,0.76,15.0227653095843,-24.2177505519998,0.1146311230245,0.007209227888399
0.77,119.940491826069,102.143587384866,100.662109208099,101,0.77,15.1446737523781,-24.210853851459,0.121908442793801,0.0068967005408
0.78,119.947553318191,102.13659363327,100.676967817838,101,0.78,15.266582195172,-24.2039571509182,0.121908442793899,0.0068967005408
0.79,119.954614810313,102.129599881674,100.691826427577,101,0.79,15.3884906379658,-24.1970604503774,0.121908442793801,0.0068967005408
0.8,119.951294820949,102.136004270185,100.694981438608,101,0.8,15.5103990807596,-24.1901637498367,0.121908442793799,0.0068967005407
0.81,119.93241656494,102.162487858046,100.680596784455,101,0.81,15.6323075235534,-24.1832670492959,0.121908442793801,0.0068967005408
0.82,119.913538308932,102.188971445907,100.666212130301,101,0.82,15.7542159663473,-24.1763703487551,0.121908442793899,0.0068967005408
0.83,119.894660052924,102.215455033769,100.651827476147,101,0.83,15.8761244091411,-24.1694736482143,0.121908442793801,0.0068967005408
0.84,119.875781796915,102.24193862163,100.637442821993,101,0.84,16.0202468140154,-24.1615238011739,0.144122404874301,0.0079498470404
0.85,119.856329126041,102.265944844995,100.624516514485,101,0.85,16.180236552269,-24.152821696317,0.1599897382536,0.008702104856898
0.86,119.831369677355,102.266201167959,100.625571027161,101,0.86,16.3402262905225,-24.1441195914602,0.159989738253501,0.008702104856802
0.87,119.806410228669,102.266457490924,100.626625539838,101,0.87,16.500216028776,-24.1354174866034,0.159989738253497,0.008702104856798
0.88,119.781450779982,102.266713813889,100.627680052515,101,0.88,16.6602057670296,-24.1267153817466,0.1599897382536,0.008702104856802
0.89,119.756491331296,102.266970136853,100.628734565191,101,0.89,16.8201955052831,-24.1180132768897,0.159989738253501,0.008702104856898
0.9,119.73153188261,102.267226459818,100.629789077868,101,0.9,16.9801852435367,-24.1093111720329,0.1599897382536,0.008702104856802
0.91,119.683282253585,102.266559481107,100.639971037691,101,0.91,17.1401749817902,-24.1006090671761,0.159989738253501,0.008702104856798
0.92,119.628724624928,102.265642431914,100.65262510947,101,0.92,17.2613206669288,-24.0932086506059,0.1211456851386,0.007400416570203
0.93,119.57416699627,102.264725382721,100.665279181248,101,0.93,17.2605786092833,-24.0898927678151,-0.0007420576455,0.003315882790798
0.94,119.519609367612,102.263808333527,100.677933253027,101,0.94,17.2598365516377,-24.0865768850242,-0.000742057645599,0.003315882790901
0.95,119.465051738954,102.262891284334,100.690587324806,101,0.95,17.2590944939922,-24.0832610022334,-0.0007420576455,0.003315882790801
0.96,119.447445409323,102.293201153258,100.688604199734,101,0.96,17.2583524363467,-24.0799451194425,-0.0007420576455,0.003315882790901
0.97,119.4698497237,102.357323341023,100.67077200608,101,0.97,17.2576103787011,-24.0766292366517,-0.000742057645603,0.003315882790798
0.98,119.492254038077,102.421445528787,100.652939812427,101,0.98,17.2568683210556,-24.0733133538608,-0.0007420576455,0.003315882790901
0.99,119.514658352455,102.485567716552,100.635107618773,101,0.99,17.2561262634101,-24.0699974710699,-0.0007420576455,0.003315882790901
1,119.537062666832,102.549689904317,100.617275425119,101,1,17.2553842057646,-24.0666815882791,-0.0007420576455,0.003315882790801
1.01,119.556160456915,102.601988264769,100.603504845062,101,1.01,17.2641905639138,-24.073981178297,0.008806358149201,-0.007299590017901
1.02,119.5594458911,102.597743092222,100.609157585079,101,1.02,17.2740578571514,-24.0824602652936,0.009867293237601,-0.008479086996601
1.03,119.562731325285,102.593497919674,100.614810325096,101,1.03,17.283925150389,-24.0909393522903,0.009867293237598,-0.008479086996697
1.04,119.566016759469,102.589252747127,100.620463065114,101,1.04,17.2937924436266,-24.099418439287,0.009867293237601,-0.008479086996701
1.05,119.569302193654,102.585007574579,100.626115805131,101,1.05,17.3036597368642,-24.1078975262836,0.009867293237601,-0.008479086996601
1.06,119.572587627839,102.580762402032,100.631768545149,101,1.06,17.3135270301018,-24.1163766132803,0.009867293237598,-0.008479086996697
1.07,119.597191881108,102.557944542289,100.639244080175,101,1.07,17.3233943233394,-24.1248557002769,0.009867293237601,-0.008479086996601
1.08,119.625200952554,102.532160447751,100.647010732902,101,1.08,17.333261616577,-24.1333347872736,0.009867293237601,-0.008479086996701
1.09,119.653210024,102.506376353213,100.654777385629,101,1.09,17.3377023234152,-24.1369709047425,0.004440706838199,-0.003636117468901
1.1,119.681219095446,102.480592258674,100.662544038355,101,1.1,17.3378497771411,-24.1367754985854,0.000147453725898,0.000195406157101
1.11,119.709228166892,102.454808164136,100.670310691082,101,1.11,17.337997230867,-24.1365800924283,0.000147453725901,0.000195406157101
1.12,119.720112247891,102.432337142342,100.66363034146,101,1.12,17.3381446845929,-24.1363846862712,0.000147453725901,0.000195406157101
1.13,119.71731006541,102.412513922697,100.645403971929,101,1.13,17.3382921383188,-24.1361892801141,0.000147453725898,0.000195406157101
1.14,119.714507882928,102.392690703051,100.627177602399,101,1.14,17.3384395920447,-24.135993873957,0.000147453725901,0.000195406157101
1.15,119.711705700447,102.372867483406,100.608951232868,101,1.15,17.3385870457706,-24.1357984677999,0.000147453725898,0.000195406157097
1.16,119.708903517966,102.35304426376,100.590724863338,101,1.16,17.3387344994965,-24.1356030616428,0.000147453725901,0.000195406157101
1.17,119.707910196246,102.331527887962,100.57896918047,101,1.17,17.3367564395747,-24.1336455738039,-0.0019780599218,0.001957487838901
1.18,119.712293548956,102.304978759182,100.586447026392,101,1.18,17.3270953393193,-24.1253187339511,-0.0096611002554,0.008326839852799
1.19,119.716676901666,102.278429630402,100.593924872314,101,1.19,17.317434239064,-24.1169918940983,-0.0096611002553,0.008326839852799
1.2,119.721060254377,102.251880501622,100.601402718236,101,1.2,17.3077731388086,-24.1086650542455,-0.0096611002554,0.008326839852803
1.21,119.725443607087,102.225331372841,100.608880564158,101,1.21,17.2981120385533,-24.1003382143928,-0.0096611002553,0.0083268398527
1.22,119.729826959797,102.198782244061,100.61635841008,101,1.22,17.2884509382979,-24.09201137454,-0.0096611002554,0.008326839852799
1.23,119.676009294442,102.193501777834,100.622026743695,101,1.23,17.2787898380426,-24.0836845346872,-0.0096611002553,0.008326839852799
1.24,119.618767514888,102.189472601222,100.627588619091,101,1.24,17.2691287377873,-24.0753576948344,-0.009661100255297,0.008326839852803
1.25,119.561525735334,102.18544342461,100.633150494487,101,1.25,17.2594676375319,-24.0670308549816,-0.009661100255403,0.008326839852799
1.26,119.504283955781,102.181414247997,100.638712369882,101,1.26,17.2662823455651,-24.0726445188631,0.0068147080332,-0.005613663881501
1.27,119.447042176227,102.177385071385,100.644274245278,101,1.27,17.2754507404965,-24.080249683278,0.0091683949314,-0.007605164414901
1.28,119.451158325244,102.212370184539,100.636181087039,101,1.28,17.284619135428,-24.0878548476929,0.0091683949315,-0.007605164414898
1.29,119.490013987919,102.269444333028,100.620356748193,101,1.29,17.2937875303595,-24.0954600121078,0.0091683949315,-0.007605164414901
1.3,119.528869650594,102.326518481516,100.604532409346,101,1.3,17.302955925291,-24.1030651765228,0.0091683949315,-0.007605164415001
1.31,119.567725313269,102.383592630004,100.5887080705,101,1.31,17.3121243202225,-24.1106703409377,0.009168394931503,-0.007605164414898
1.32,119.606580975944,102.440666778493,100.572883731654,101,1.32,17.321292715154,-24.1182755053526,0.0091683949315,-0.007605164414901
1.33,119.658823427302,102.479068422428,100.565813299951,101,1.33,17.3304611100855,-24.1258806697676,0.0091683949315,-0.007605164415001
1.34,119.737861737302,102.480093978311,100.576265252738,101,1.34,17.3299687116381,-24.1256630924523,-0.000492398447403,0.000217577315301
1.35,119.816900047302,102.481119534195,100.586717205525,101,1.35,17.3210219867891,-24.1185996993383,-0.008946724849,0.007063393113999
1.36,119.895938357302,102.482145090078,100.597169158312,101,1.36,17.3120752619402,-24.1115363062242,-0.008946724848897,0.007063393114102
1.37,119.974976667302,102.483170645962,100.6076211111,101,1.37,17.3031285370912,-24.1044729131102,-0.008946724849,0.007063393113999
1.38,120.050636187367,102.483562837204,100.617879340427,101,1.38,17.2941818122423,-24.0974095199962,-0.008946724848901,0.007063393113999
1.39,120.004238658295,102.461075056453,100.621139409385,101,1.39,17.2852350873933,-24.0903461268821,-0.008946724849,0.007063393114102
1.4,119.957841129223,102.438587275702,100.624399478343,101,1.4,17.2762883625444,-24.0832827337681,-0.008946724848901,0.007063393113999
1.41,119.911443600151,102.416099494951,100.627659547301,101,1.41,17.2673416376954,-24.0762193406541,-0.008946724849,0.007063393114002
1.42,119.865046071078,102.393611714199,100.630919616259,101,1.42,17.259821359555,-24.0700501516477,-0.007520278140397,0.0061691890064
1.43,119.818648542006,102.371123933448,100.634179685218,101,1.43,17.2583156712661,-24.0676513600345,-0.001505688288901,0.002398791613199
1.44,119.795680720093,102.363149371595,100.625286393713,101,1.44,17.2568099829771,-24.0652525684213,-0.001505688289001,0.002398791613199
1.45,119.781804468445,102.360806461411,100.61167716061,101,1.45,17.2553042946881,-24.0628537768081,-0.001505688289001,0.002398791613199
1.46,119.767928216798,102.358463551226,100.598067927508,101,1.46,17.2537986063992,-24.0604549851949,-0.001505688288898,0.002398791613199
1.47,119.75405196515,102.356120641042,100.584458694405,101,1.47,17.2522929181102,-24.0580561935816,-0.001505688289001,0.002398791613302
1.48,119.740175713503,102.353777730857,100.570849461303,101,1.48,17.2507872298213,-24.0556574019684,-0.001505688288901,0.002398791613199
1.49,119.7348642727,102.355231001759,100.566823398266,101,1.49,17.2492815415323,-24.0532586103552,-0.001505688288997,0.002398791613199
1.5,119.741803032021,102.362113928825,100.57650408874,101,1.5,17.2477758532433,-24.050859818742,-0.001505688289001,0.002398791613199
1.51,119.748741791342,102.368996855892,100.586184779214,101,1.51,17.255434843617,-24.0580251447547,0.007658990373699,-0.0071653260127
1.52,119.755680550663,102.375879782959,100.595865469688,101,1.52,17.2647111302253,-24.0668782562307,0.009276286608301,-0.008853111476
1.53,119.762619309984,102.382762710026,100.605546160162,101,1.53,17.2739874168335,-24.0757313677068,0.009276286608198,-0.0088531114761
1.54,119.76801554115,102.387329606963,100.614694072797,101,1.54,17.2832637034417,-24.0845844791829,0.009276286608202,-0.0088531114761
1.55,119.759976539444,102.371724162776,100.619201555157,101,1.55,17.29253999005,-24.093437590659,0.009276286608298,-0.0088531114761
1.56,119.751937537738,102.35611871859,100.623709037517,101,1.56,17.3018162766582,-24.1022907021351,0.009276286608202,-0.0088531114761
1.57,119.743898536032,102.340513274403,100.628216519877,101,1.57,17.3110925632665,-24.1111438136111,0.009276286608298,-0.008853111476
1.58,119.735859534326,102.324907830217,100.632724002236,101,1.58,17.3203688498747,-24.1199969250872,0.009276286608202,-0.0088531114761
1.59,119.72782053262,102.309302386031,100.637231484596,101,1.59,17.3205152192625,-24.1201478843387,0.000146369387799,-0.000150959251499
1.6,119.727261035263,102.321383325601,100.624462398253,101,1.6,17.3118298351635,-24.1118808852019,-0.008685384099,0.008266999136801
1.61,119.728599866337,102.340491181263,100.607308448951,101,1.61,17.3031444510645,-24.103613886065,-0.008685384099,0.0082669991369
1.62,119.729938697412,102.359599036925,100.590154499648,101,1.62,17.2944590669656,-24.0953468869282,-0.0086853840989,0.008266999136797
1.63,119.731277528486,102.378706892587,100.573000550345,101,1.63,17.2857736828666,-24.0870798877913,-0.008685384099,0.0082669991369
1.64,119.732616359561,102.397814748249,100.555846601042,101,1.64,17.2770882987676,-24.0788128886545,-0.008685384099,0.008266999136801
1.65,119.745011635562,102.426687334371,100.556474278581,101,1.65,17.2684029146686,-24.0705458895176,-0.008685384099003,0.0082669991369
1.66,119.768998534872,102.465797304926,100.575744288399,101,1.66,17.2597175305697,-24.0622788903807,-0.0086853840989,0.0082669991369
1.67,119.792985434182,102.504907275482,100.595014298217,101,1.67,17.2539678040447,-24.0567573009099,-0.005749726525,0.005521589470799
1.68,119.816972333493,102.544017246038,100.614284308036,101,1.68,17.2628928433053,-24.0649594659362,0.0089250392606,-0.008202165026301
1.69,119.840959232803,102.583127216594,100.633554317854,101,1.69,17.2718178825659,-24.0731616309625,0.008925039260603,-0.008202165026297
1.7,119.864373288766,102.601697534411,100.648591861582,101,1.7,17.2807429218265,-24.0813637959888,0.0089250392606,-0.008202165026301
1.71,119.88519414274,102.527286990022,100.64446947348,101,1.71,17.2896679610871,-24.0895659610151,0.0089250392606,-0.008202165026301
1.72,119.906014996715,102.452876445632,100.640347085378,101,1.72,17.2985930003477,-24.0977681260415,0.0089250392606,-0.0082021650264
1.73,119.926835850689,102.378465901243,100.636224697275,101,1.73,17.3075180396082,-24.1059702910678,0.0089250392605,-0.008202165026297
1.74,119.947656704664,102.304055356854,100.632102309173,101,1.74,17.3164430788688,-24.1141724560941,0.0089250392606,-0.008202165026301
1.75,119.968477558638,102.229644812465,100.62797992107,101,1.75,17.3253681181294,-24.1223746211204,0.0089250392606,-0.008202165026301
1.76,119.94407581614,102.180805390392,100.616983975982,101,1.76,17.3197240947289,-24.1171757407962,-0.0056440234005,0.005198880324201
1.77,119.913131778121,102.135665310065,100.604993642145,101,1.77,17.3109896640972,-24.1091342144886,-0.008734430631701,0.008041526307601
1.78,119.882187740102,102.090525229739,100.593003308308,101,1.78,17.3022552334656,-24.1010926881811,-0.008734430631598,0.008041526307498
1.79,119.851243702082,102.045385149412,100.581012974472,101,1.79,17.293520802834,-24.0930511618735,-0.008734430631602,0.008041526307601
1.8,119.820299664063,102.000245069085,100.569022640635,101,1.8,17.2847863722023,-24.0850096355659,-0.008734430631698,0.008041526307601
1.81,119.808078517591,101.991487929436,100.574165983212,101,1.81,17.2760519415707,-24.0769681092583,-0.008734430631602,0.008041526307601
1.82,119.810025547105,102.010262856885,100.592274894813,101,1.82,17.267317510939,-24.0689265829507,-0.008734430631698,0.008041526307601
1.83,119.811972576618,102.029037784334,100.610383806415,101,1.83,17.2585830803074,-24.0608850566431,-0.008734430631602,0.008041526307597
1.84,119.813919606131,102.047812711783,100.628492718017,101,1.84,17.2535363861849,-24.055969267167,-0.005046694122498,0.004915789476101
1.85,119.815866635644,102.066587639232,100.646601629618,101,1.85,17.2524322814568,-24.0543952286132,-0.0011041047281,0.001574038553802
1.86,119.803608587609,102.069911900043,100.659179564293,101,1.86,17.2513281767287,-24.0528211900595,-0.001104104728103,0.001574038553699
1.87,119.750681515707,102.029001025349,100.655922356083,101,1.87,17.2502240720006,-24.0512471515057,-0.0011041047281,0.001574038553802
1.88,119.697754443805,101.988090150654,100.652665147873,101,1.88,17.2491199672725,-24.0496731129519,-0.0011041047281,0.001574038553798
1.89,119.644827371904,101.94717927596,100.649407939664,101,1.89,17.2480158625444,-24.0480990743982,-0.0011041047281,0.001574038553702
1.9,119.591900300002,101.906268401266,100.646150731454,101,1.9,17.2469117578162,-24.0465250358444,-0.001104104728199,0.001574038553798
1.91,119.5389732281,101.865357526571,100.642893523245,101,1.91,17.2458076530881,-24.0449509972907,-0.0011041047281,0.001574038553699
1.92,119.516586491058,101.86696622955,100.63363569055,101,1.92,17.2446979445437,-24.0434481367107,-0.001109708544401,0.00150286058
1.93,119.495884748832,101.870920855331,100.624046786791,101,1.93,17.2435542927701,-24.0423764127216,-0.001143651773599,0.001071723989099
1.94,119.475183006607,101.874875481113,100.614457883033,101,1.94,17.2424106409964,-24.0413046887325,-0.001143651773699,0.001071723989103
1.95,119.454481264381,101.878830106894,100.604868979274,101,1.95,17.2412669892228,-24.0402329647434,-0.001143651773599,0.001071723989099
1.96,119.433779522155,101.882784732675,100.595280075515,101,1.96,17.2401233374492,-24.0391612407543,-0.001143651773599,0.001071723989099
1.97,119.472680588401,101.928762187536,100.60239941981,101,1.97,17.2389796856756,-24.0380895167652,-0.001143651773603,0.001071723989099
1.98,119.545016606757,101.998312881877,100.618891467971,101,1.98,17.237836033902,-24.0370177927761,-0.001143651773599,0.001071723989099
1.99,119.617352625112,102.067863576217,100.635383516133,101,1.99,17.2366923821283,-24.0359460687869,-0.001143651773699,0.001071723989202
2,119.689688643468,102.137414270558,100.651875564294,101,2,17.2355487303547,-24.0348743447978,-0.001143651773599,0.001071723989099
2.01,119.762024661823,102.206964964898,100.668367612456,101,2.01,17.2324812501049,-24.038345579678,-0.003067480249801,-0.003471234880202
2.02,119.881724156822,102.812577047177,100.675889357783,101,2.02,17.228932812736,-24.0429525542755,-0.003548437368899,-0.0046069745975
2.03,120.095818097724,104.486548575823,100.665533471954,101,2.03,17.2253843753671,-24.047559528873,-0.003548437368902,-0.004606974597497
2.04,120.309912038626,106.160520104469,100.655177586126,101,2.04,17.2218359379983,-24.0521665034705,-0.003548437368799,-0.0046069745975
2.05,120.524005979527,107.834491633115,100.644821700298,101,2.05,17.2182875006294,-24.056773478068,-0.003548437368899,-0.0046069745975
2.06,120.738099920429,109.508463161762,100.63446581447,101,2.06,17.2147390632605,-24.0613804526655,-0.003548437368902,-0.0046069745975
2.07,120.995612823776,111.213496036858,100.624299286758,101,2.07,17.2111906258916,-24.065987427263,-0.003548437368899,-0.0046069745975
2.08,122.770860451186,114.004296084396,100.620751880551,101,2.08,17.2076421885227,-24.0705944018605,-0.003548437368899,-0.0046069745975
2.09,124.546108078596,116.795096131934,100.617204474344,101,2.09,17.1928757765896,-24.0797252847176,-0.014766411933103,-0.0091308828571
2.1,126.321355706006,119.585896179472,100.613657068137,101,2.1,17.1648499781816,-24.0942033225041,-0.028025798407999,-0.0144780377865
2.11,128.096603333416,122.37669622701,100.61010966193,101,2.11,17.1368241797737,-24.1086813602906,-0.028025798407899,-0.0144780377865
2.12,129.871850960826,125.167496274548,100.606562255723,101,2.12,17.1087983813657,-24.1231593980771,-0.028025798408002,-0.0144780377865
2.13,131.639603025407,127.085155032812,100.617253147403,101,2.13,17.0807725829577,-24.1376374358636,-0.028025798407999,-0.0144780377865
2.14,133.404452359661,128.664681250836,100.633457959789,101,2.14,17.0527467845497,-24.1521154736501,-0.028025798407999,-0.0144780377865
